Tm_avg,Tx_avg,P_avg,Extreme_Heat_Count,Annual_Yield,Yield_Std_5yr,Tm_z,Tx_z,P_z,Cumulative_Heat,Stability
-1.576064492,-1.157787958,-0.157192613,0.8725526799385762,31,2.893440858217081,-1.590590739,-1.16845904,-0.158641423,797,high
-0.103602993,0.094649243,-0.897975587,1.1000376011420063,28,2.893440858217081,-0.10455788,0.095521605,-0.906252034,1645,high
-1.114286626,-1.473027253,0.7992613538593911,-0.577106132,34,2.893440858217081,-1.124556766,-1.486603828,0.8066279736762731,2117,high
0.7415376307021772,0.37580861451711384,0.3257228704241396,1.3453644769496274,31,3.5423156268181404,0.748372223,0.3792723616052122,0.32872498799243033,3020,medium
-0.48696575,-0.450629538,-0.024351784,-0.041847494,26.6,4.532107677449864,-0.491454009,-0.454782894,-0.024576229,3612,medium
0.27975976411451525,0.48656836694074684,0.04910138,1.7780318761012495,34.6,5.841489536,0.2823382496278475,0.49105296282026656,0.049553937,4612,low
-1.84616098,-1.166307938,0.38511053501337833,0.7431985090581943,24.3,6.129192442728488,-1.863176648,-1.177057548,0.38866001589997423,5380,low
-1.323393584,-1.353747519,1.4337716649970527,1.3453644769496274,38.7,6.039453617671055,-1.335591018,-1.366224719,1.4469864297410902,6283,low
-2.011703989,-2.222785577,-0.407245937,1.514863045689438,26.9,6.3927302461467885,-2.030245431,-2.243272513,-0.410999435,7224,low
-2.116257468,-1.967186148,0.7273710230408368,0.14995351846885654,35,4.620281377,-2.135762558,-1.985317279,0.7340750451566126,7859,low
-1.698043551,-1.566747043,-0.022788951,0.48449016729743044,37,3.877241287307248,-1.713694053,-1.581187414,-0.022998992,8569,medium
0.061940016,-0.408029633,0.20069620813100214,-0.572645643,32.3,2.692953768633979,0.062510904,-0.411790355,0.20254598187128195,9042,high
-0.56538086,-0.212070071,0.9461676820538252,-1.085601838,34.6,2.6071056748816224,-0.570591853,-0.214024676,0.954888306,9400,high
0.40173882321314275,-0.084270357,0.8805286843499286,1.8895440923774407,30,2.674509301,0.4054415634519936,-0.085047059,0.8886443276550178,10425,high
0.13164233520903865,-0.246149995,0.4116787007506699,-0.273792903,33.7,2.955841673703097,0.1328556542699555,-0.248418707,0.41547305470071816,10965,high
-0.321422741,-0.501749424,1.9432553138415813,-0.710920791,37.2,4.176960617482511,-0.324385226,-0.50637394,1.961165879684763,11407,medium
0.2710469741788984,-0.399509652,1.3947008330304478,-0.336239744,37.1,3.436859031150371,0.27354515578326505,-0.403191847,1.4075554903282317,11933,medium
1.1074748079980605,0.7080878717880159,-0.5228956,1.5728493981530576,41.1,3.4753417098178807,1.117682164863126,0.7146141652503784,-0.527715016,12887,medium
0.3756004534062937,1.040367129058918,0.047538547,1.7289665009397253,32.3,3.639780213144725,0.37906228191824776,1.0499559688955444,0.047976699,13876,medium
-0.49567854,-0.348389767,-0.582283264,0.5781604289694311,33.5,3.6273957600460234,-0.500247103,-0.3516008,-0.587650044,14607,medium
0.9245062193501188,1.3982063291968105,1.4587769974556815,0.5067926105526687,38.7,2.495596121170237,0.9330271941269066,1.411093295898029,1.472222230965321,15322,high
1.0813364381912123,1.151126881482551,0.010030548133970448,2.081345104,36.2,2.328518842526268,1.091302883329381,1.1617365701105988,0.010122997536533613,16390,high
-0.45211459,-1.387827443,1.6556939905673687,-1.420138487,34.5,2.343501653509083,-0.456281633,-1.40061875,1.6709541656061255,16673,high
-0.155879733,-0.331349805,-0.035291617,-0.117675801,38.5,2.8583211855912514,-0.157316443,-0.334403785,-0.035616892,17248,high
-0.016475094,0.17984905253683814,-0.457256602,-0.461133427,40.5,2.7382476148076482,-0.016626941,0.18150668253242186,-0.461471038,17746,high
-0.025187884,0.31616874782746457,0.6961143574675525,0.7744219296155278,41.3,1.7868967513540759,-0.025420035,0.31908280710479764,0.7025302936263255,18521,high
-0.382412271,-0.007590528,1.7510268205658845,-0.603869064,37,1.9346834366375631,-0.385936883,-0.007660489,1.7671656577734998,18987,high
-0.112315783,-0.339869786,-0.454130936,-0.429910006,38,1.9346834366375631,-0.113350973,-0.343002292,-0.458316563,19492,high
